International plan,Voice mail plan,Account length,Total day charge,Customer service calls,Churn,State,churn_probability,predicted_churn,risk_tier
No,No,36,30.24,2,No,MO,0.02,No,Low
No,Yes,120,26.1,5,No,CO,0.17,No,Low
No,Yes,64,30.62,0,No,NC,0.0,No,Low
No,Yes,13,45.1,1,No,MT,0.05,No,Low
No,No,106,21.86,0,No,DE,0.01,No,Low
No,No,74,28.1,1,No,VA,0.0,No,Low
No,No,83,33.15,0,No,IL,0.0,No,Low
No,No,49,36.35,0,No,OK,0.04,No,Low
No,Yes,111,34.94,1,No,CO,0.02,No,Low
No,Yes,50,42.99,3,No,MT,0.01,No,Low
No,No,88,32.64,1,No,ME,0.0,No,Low
No,Yes,131,11.75,0,No,WI,0.02,No,Low
No,No,79,44.49,3,Yes,MO,0.78,Yes,Critical
No,No,140,40.04,2,No,NY,0.19,No,Low
No,No,105,36.28,1,No,CT,0.01,No,Low
No,Yes,87,44.85,3,No,WY,0.02,No,Low
No,Yes,96,31.18,1,No,CA,0.1,No,Low
No,No,130,41.23,2,No,AK,0.01,No,Low
No,No,34,25.67,0,No,VA,0.01,No,Low
No,No,139,23.48,1,No,CO,0.0,No,Low
No,No,63,35.9,0,No,NE,0.01,No,Low
No,No,152,33.51,3,No,VT,0.0,No,Low
No,No,147,34.9,1,No,ND,0.03,No,Low
No,Yes,112,30.91,2,No,GA,0.02,No,Low
No,No,120,42.84,2,No,OR,0.02,No,Low
No,No,171,39.3,1,No,WY,0.05,No,Low
No,Yes,101,34.02,0,No,GA,0.0,No,Low
No,No,151,29.8,0,No,IL,0.01,No,Low
No,No,60,21.27,3,No,CO,0.03,No,Low
No,No,42,41.0,0,No,MA,0.01,No,Low
No,No,84,36.91,1,No,IN,0.07,No,Low
No,No,65,33.22,0,No,NY,0.02,No,Low
Yes,No,75,37.81,1,Yes,TX,0.72,Yes,High
No,Yes,189,43.64,3,No,NE,0.01,No,Low
No,Yes,63,5.25,1,No,CO,0.03,No,Low
No,No,108,31.86,1,No,SC,0.04,No,Low
No,No,71,47.18,1,No,CO,0.15,No,Low
No,No,137,25.02,1,No,MS,0.0,No,Low
No,No,82,31.59,4,No,NE,0.16,No,Low
No,No,96,16.59,1,No,MT,0.06,No,Low
No,No,37,35.02,0,No,NH,0.02,No,Low
No,No,98,36.86,0,No,IA,0.03,No,Low
No,No,121,17.56,0,No,WV,0.0,No,Low
No,No,94,23.7,0,No,RI,0.0,No,Low
No,No,99,32.5,1,No,KS,0.04,No,Low
No,Yes,163,27.2,1,No,MT,0.03,No,Low
No,No,161,37.69,3,No,MO,0.03,No,Low
No,No,99,10.69,1,No,HI,0.0,No,Low
No,No,108,36.65,1,No,CO,0.01,No,Low
No,Yes,84,28.1,3,No,CT,0.07,No,Low
No,No,139,34.54,2,No,DC,0.04,No,Low
No,No,69,33.2,3,No,TN,0.02,No,Low
No,No,129,24.43,4,No,WY,0.07,No,Low
No,No,106,19.45,2,No,MO,0.04,No,Low
No,Yes,168,29.9,2,No,SD,0.04,No,Low
Yes,Yes,57,39.87,2,No,GA,0.06,No,Low
No,No,67,35.82,1,No,AZ,0.02,No,Low
No,No,127,30.99,1,No,AK,0.0,No,Low
No,No,78,32.35,2,No,AK,0.02,No,Low
No,Yes,100,30.11,0,No,CT,0.01,No,Low
No,No,113,36.65,1,No,KY,0.01,No,Low
No,No,78,23.36,3,No,MI,0.11,No,Low
No,Yes,129,32.78,1,No,OR,0.02,No,Low
No,No,57,25.38,2,No,TN,0.0,No,Low
No,No,82,24.43,1,No,WV,0.02,No,Low
No,No,94,46.1,3,Yes,WY,0.9,Yes,Critical
No,No,90,35.22,2,No,WY,0.03,No,Low
No,No,48,51.07,2,No,IN,0.39,No,Medium
No,Yes,85,39.03,2,No,NM,0.01,No,Low
Yes,Yes,93,31.88,1,No,NJ,0.06,No,Low
Yes,No,169,9.71,3,No,DC,0.12,No,Low
No,No,68,27.56,5,Yes,UT,0.79,Yes,Critical
Yes,No,91,24.65,2,Yes,KY,0.95,Yes,Critical
No,No,68,27.12,1,No,KS,0.01,No,Low
No,No,101,32.42,1,No,MI,0.03,No,Low
No,Yes,67,39.2,1,No,UT,0.15,No,Low
No,No,66,5.78,0,No,NE,0.0,No,Low
No,Yes,116,32.88,5,No,FL,0.07,No,Low
No,No,158,34.34,1,No,LA,0.05,No,Low
No,No,78,32.59,1,No,MT,0.03,No,Low
No,Yes,119,27.42,1,No,WA,0.03,No,Low
No,No,120,25.6,1,No,MI,0.03,No,Low
No,No,155,31.38,1,No,KY,0.01,No,Low
No,No,106,37.52,1,No,LA,0.03,No,Low
No,Yes,146,26.18,3,No,AL,0.0,No,Low
No,Yes,101,20.59,0,No,MO,0.01,No,Low
No,Yes,22,30.96,3,No,CO,0.01,No,Low
No,No,41,35.68,1,No,NY,0.0,No,Low
No,No,69,28.48,2,No,OR,0.01,No,Low
No,No,33,36.36,2,No,WY,0.09,No,Low
No,No,112,19.69,1,No,UT,0.0,No,Low
No,Yes,136,30.5,2,No,NV,0.02,No,Low
No,No,128,31.84,1,No,NC,0.01,No,Low
No,No,27,34.2,2,No,NC,0.02,No,Low
Yes,No,161,32.23,1,No,WY,0.04,No,Low
No,Yes,120,26.1,0,No,FL,0.01,No,Low
No,No,113,31.89,2,No,CA,0.01,No,Low
Yes,No,122,39.25,0,Yes,PA,0.67,Yes,High
No,Yes,148,41.63,2,No,WV,0.03,No,Low
No,No,74,39.25,3,No,NJ,0.03,No,Low
No,No,106,31.81,1,No,MT,0.01,No,Low
No,No,179,29.02,1,No,MN,0.02,No,Low
No,No,77,32.22,0,No,ID,0.01,No,Low
Yes,No,127,30.07,1,Yes,MA,0.85,Yes,Critical
No,No,80,27.39,1,No,OR,0.0,No,Low
No,Yes,61,43.25,0,No,AL,0.01,No,Low
Yes,Yes,135,21.71,2,No,ND,0.08,No,Low
No,Yes,115,28.99,6,No,LA,0.31,No,Medium
Yes,No,107,46.5,2,No,MS,0.19,No,Low
Yes,No,112,27.52,1,No,WV,0.06,No,Low
Yes,No,103,10.68,3,No,KS,0.12,No,Low
No,No,69,38.79,3,No,PA,0.05,No,Low
No,No,85,35.67,0,No,SD,0.0,No,Low
No,No,24,45.15,2,Yes,NJ,0.49,No,Medium
No,No,90,36.53,2,No,AL,0.0,No,Low
No,No,137,18.79,3,No,ME,0.07,No,Low
Yes,Yes,69,46.16,1,Yes,NV,0.81,Yes,Critical
No,No,45,19.18,2,No,WI,0.03,No,Low
No,No,73,31.84,1,No,HI,0.01,No,Low
No,No,92,33.49,1,No,DE,0.03,No,Low
No,Yes,113,30.67,1,No,AZ,0.01,No,Low
No,Yes,135,33.51,2,No,GA,0.01,No,Low
No,Yes,100,26.13,1,No,AZ,0.01,No,Low
No,Yes,96,44.42,1,No,MN,0.03,No,Low
No,No,108,41.85,1,No,ME,0.02,No,Low
No,No,84,32.47,0,No,FL,0.03,No,Low
No,No,134,35.41,1,No,WA,0.02,No,Low
No,No,72,43.01,0,No,MT,0.09,No,Low
No,No,83,34.39,0,No,AL,0.02,No,Low
No,No,137,29.65,0,No,WV,0.0,No,Low
No,Yes,56,21.61,1,No,GA,0.01,No,Low
Yes,Yes,61,24.4,0,No,OH,0.2,No,Low
No,Yes,171,31.77,1,No,DE,0.05,No,Low
No,No,58,39.92,0,No,FL,0.01,No,Low
No,No,156,21.03,1,No,AK,0.01,No,Low
No,No,166,29.56,0,No,WI,0.04,No,Low
No,No,75,53.48,2,Yes,KY,0.89,Yes,Critical
No,No,83,38.74,1,No,OH,0.02,No,Low
No,No,243,16.24,2,No,UT,0.07,No,Low
No,No,150,24.87,1,No,MN,0.02,No,Low
No,Yes,92,31.28,2,No,WV,0.0,No,Low
No,No,80,17.99,0,No,MN,0.02,No,Low
No,No,134,30.26,1,No,AL,0.01,No,Low
No,Yes,77,25.4,1,No,PA,0.05,No,Low
No,No,147,35.6,2,No,DE,0.03,No,Low
No,No,74,29.26,1,No,MO,0.0,No,Low
Yes,No,138,28.78,1,No,IL,0.04,No,Low
No,No,64,33.01,2,No,HI,0.02,No,Low
No,No,120,33.8,2,No,ME,0.02,No,Low
Yes,No,121,28.51,3,Yes,CO,0.93,Yes,Critical
No,No,88,34.37,2,No,NH,0.0,No,Low
No,No,104,12.99,3,No,FL,0.02,No,Low
No,No,27,12.36,1,No,GA,0.03,No,Low
No,Yes,81,35.77,0,No,IL,0.02,No,Low
Yes,Yes,64,21.62,0,No,NC,0.08,No,Low
No,Yes,107,34.31,1,No,VT,0.03,No,Low
No,Yes,88,37.32,1,No,DC,0.02,No,Low
No,No,111,16.88,3,No,VT,0.08,No,Low
No,No,77,40.66,5,No,NV,0.1,No,Low
Yes,No,67,20.55,2,No,OR,0.11,No,Low
No,No,102,38.2,1,No,AL,0.0,No,Low
No,Yes,146,30.02,1,No,ND,0.01,No,Low
No,No,96,30.7,1,Yes,NE,0.63,Yes,High
No,No,149,40.39,0,No,ME,0.02,No,Low
No,No,129,33.73,2,No,IL,0.01,No,Low
No,No,166,46.63,0,No,WA,0.13,No,Low
No,No,149,37.01,3,No,KS,0.06,No,Low
No,No,70,22.9,3,No,RI,0.01,No,Low
No,No,66,43.57,2,No,IA,0.05,No,Low
No,No,160,29.95,1,No,NV,0.0,No,Low
No,Yes,129,34.85,1,No,WI,0.0,No,Low
No,No,93,45.54,3,Yes,AL,0.95,Yes,Critical
No,No,169,30.46,2,No,HI,0.02,No,Low
No,No,58,25.4,1,No,MO,0.06,No,Low
No,No,45,35.29,1,No,MO,0.0,No,Low
No,No,155,28.12,3,No,CT,0.0,No,Low
No,No,52,35.67,4,No,MD,0.11,No,Low
No,Yes,119,37.42,0,No,OH,0.02,No,Low
No,No,86,24.02,1,No,NV,0.02,No,Low
No,No,42,33.41,0,No,MD,0.05,No,Low
No,No,123,17.85,0,No,OH,0.02,No,Low
No,No,98,46.14,4,Yes,MA,0.89,Yes,Critical
No,Yes,149,35.14,1,No,OK,0.04,No,Low
No,No,160,28.36,1,No,MA,0.02,No,Low
No,No,103,34.83,5,No,WA,0.12,No,Low
No,Yes,132,26.28,1,No,HI,0.0,No,Low
No,No,137,21.59,1,No,CO,0.02,No,Low
Yes,No,129,45.46,1,No,FL,0.15,No,Low
No,No,62,47.77,1,No,WI,0.1,No,Low
No,No,32,29.1,1,No,WY,0.0,No,Low
No,No,86,21.1,3,No,GA,0.03,No,Low
No,No,130,27.68,1,No,FL,0.01,No,Low
No,No,42,24.87,1,No,WY,0.01,No,Low
No,No,73,43.32,2,No,DE,0.07,No,Low
No,Yes,66,43.33,2,No,ME,0.05,No,Low
No,Yes,103,18.31,0,No,DC,0.01,No,Low
No,No,128,27.0,1,No,IA,0.0,No,Low
No,No,104,31.09,2,No,CO,0.02,No,Low
No,No,103,33.75,0,No,MN,0.01,No,Low
No,No,87,18.85,1,No,AZ,0.05,No,Low
No,Yes,109,28.37,1,Yes,LA,0.6,Yes,High
No,No,97,20.54,4,Yes,ME,0.85,Yes,Critical
No,No,106,28.1,2,No,MD,0.03,No,Low
No,No,125,21.54,2,No,VT,0.02,No,Low
No,Yes,108,36.7,0,No,DC,0.02,No,Low
No,No,125,23.82,1,No,WY,0.02,No,Low
Yes,Yes,72,23.77,0,No,VA,0.04,No,Low
No,No,23,54.67,2,Yes,CT,0.89,Yes,Critical
No,No,149,28.32,7,No,HI,0.15,No,Low
No,No,73,36.41,0,No,WI,0.01,No,Low
No,No,61,44.2,1,Yes,MD,0.79,Yes,Critical
No,No,161,32.62,4,Yes,WV,0.34,No,Medium
No,Yes,118,20.08,1,No,UT,0.12,No,Low
No,No,23,32.33,6,No,CO,0.1,No,Low
No,Yes,127,13.97,0,No,NC,0.03,No,Low
No,Yes,42,27.85,0,No,NJ,0.02,No,Low
No,No,118,45.53,5,Yes,AR,0.9,Yes,Critical
No,No,45,27.17,2,No,IA,0.02,No,Low
No,Yes,50,36.43,1,No,GA,0.02,No,Low
No,No,179,48.84,0,Yes,MO,0.99,Yes,Critical
No,No,152,17.2,2,No,MO,0.02,No,Low
No,No,105,17.48,2,No,WY,0.11,No,Low
No,No,72,18.55,0,No,HI,0.07,No,Low
No,No,52,36.7,1,No,PA,0.03,No,Low
No,No,125,34.58,1,No,TX,0.01,No,Low
No,No,143,18.72,1,No,VA,0.03,No,Low
No,No,65,18.87,1,No,RI,0.05,No,Low
No,No,80,40.78,1,No,WI,0.09,No,Low
No,No,43,14.31,1,No,NC,0.05,No,Low
No,No,143,35.55,0,No,NV,0.07,No,Low
No,Yes,81,22.12,0,No,UT,0.0,No,Low
No,Yes,205,29.89,2,No,ME,0.03,No,Low
No,No,24,41.12,1,No,HI,0.0,No,Low
No,No,74,23.24,0,No,OH,0.01,No,Low
No,No,74,34.07,1,No,OK,0.01,No,Low
Yes,No,74,21.39,1,Yes,KY,0.91,Yes,Critical
No,No,200,21.79,1,No,AL,0.03,No,Low
No,No,86,38.47,4,No,MD,0.1,No,Low
No,Yes,91,27.59,0,No,NE,0.05,No,Low
No,No,130,20.49,1,No,TX,0.02,No,Low
No,No,56,15.49,2,No,OH,0.05,No,Low
No,No,117,28.7,0,No,DE,0.04,No,Low
No,No,126,38.45,0,No,VT,0.04,No,Low
No,No,132,32.62,1,No,OR,0.01,No,Low
No,Yes,81,28.54,4,Yes,NV,0.36,No,Medium
No,No,122,30.6,2,No,NC,0.0,No,Low
No,No,46,43.76,2,Yes,NJ,0.86,Yes,Critical
No,No,99,27.15,1,No,ID,0.05,No,Low
No,No,87,40.32,1,No,AL,0.04,No,Low
No,No,108,17.51,1,No,AK,0.01,No,Low
No,No,53,34.87,3,No,PA,0.0,No,Low
Yes,No,144,25.5,0,No,NV,0.12,No,Low
No,Yes,91,39.51,3,No,AL,0.03,No,Low
No,No,58,28.12,2,No,GA,0.04,No,Low
No,No,5,33.86,3,No,AR,0.03,No,Low
No,No,97,36.99,0,No,MA,0.1,No,Low
No,Yes,142,26.18,1,No,MO,0.01,No,Low
No,Yes,9,32.95,1,No,NY,0.02,No,Low
No,No,73,29.82,0,No,AZ,0.01,No,Low
No,No,43,39.13,0,No,WV,0.01,No,Low
No,Yes,122,29.73,1,Yes,NM,0.66,Yes,High
No,No,93,32.33,0,No,SC,0.01,No,Low
No,No,85,29.99,1,No,VT,0.02,No,Low
No,No,87,38.88,1,No,LA,0.02,No,Low
No,No,137,24.48,0,No,OH,0.01,No,Low
No,Yes,21,23.1,6,No,OR,0.13,No,Low
No,No,104,22.19,0,No,KY,0.02,No,Low
No,Yes,93,22.81,4,Yes,GA,0.77,Yes,Critical
No,No,63,47.26,4,Yes,VT,0.95,Yes,Critical
No,No,161,17.92,0,No,OR,0.03,No,Low
No,Yes,103,19.01,1,No,MO,0.01,No,Low
No,Yes,84,27.05,1,No,ND,0.05,No,Low
No,No,92,36.11,1,No,MN,0.01,No,Low
No,No,77,24.19,1,No,NV,0.01,No,Low
Yes,No,64,58.96,1,Yes,NY,0.97,Yes,Critical
No,Yes,159,19.36,1,No,FL,0.02,No,Low
Yes,Yes,110,45.54,1,Yes,KS,0.86,Yes,Critical
No,No,138,29.14,3,No,NV,0.05,No,Low
No,No,178,46.82,1,No,NV,0.22,No,Low
No,Yes,38,33.52,0,No,SC,0.05,No,Low
No,Yes,45,15.59,1,No,MI,0.03,No,Low
No,No,70,21.47,0,No,TN,0.0,No,Low
No,Yes,147,42.76,3,No,NY,0.04,No,Low
No,No,94,32.4,1,No,NV,0.0,No,Low
No,No,179,19.74,0,No,IL,0.0,No,Low
No,No,59,30.5,0,No,ND,0.0,No,Low
No,No,165,35.31,0,No,NC,0.02,No,Low
No,No,133,47.14,2,Yes,MI,0.81,Yes,Critical
No,No,140,21.3,1,No,TN,0.0,No,Low
No,Yes,93,23.48,2,No,VT,0.0,No,Low
No,Yes,64,34.22,1,No,DE,0.0,No,Low
No,No,48,32.37,2,No,OR,0.01,No,Low
No,No,181,24.36,1,No,NY,0.01,No,Low
No,Yes,168,16.56,2,No,MO,0.16,No,Low
No,No,155,30.84,3,No,FL,0.0,No,Low
No,No,11,24.38,2,No,NY,0.02,No,Low
No,No,182,17.83,2,No,ND,0.01,No,Low
No,No,102,19.52,0,No,OH,0.03,No,Low
No,No,122,39.53,0,No,AL,0.02,No,Low
No,No,41,24.41,1,No,SC,0.01,No,Low
No,No,132,30.04,2,No,GA,0.02,No,Low
No,No,76,44.78,1,Yes,WY,0.48,No,Medium
No,Yes,115,24.65,2,No,HI,0.02,No,Low
No,No,154,28.37,0,No,LA,0.01,No,Low
No,No,100,24.23,2,No,AR,0.01,No,Low
Yes,No,146,22.61,1,No,AK,0.13,No,Low
No,Yes,67,16.15,2,No,AL,0.04,No,Low
Yes,No,161,33.01,1,Yes,UT,0.88,Yes,Critical
No,No,70,37.88,1,No,KS,0.0,No,Low
No,Yes,99,36.72,2,Yes,VA,0.58,Yes,High
No,No,87,24.87,1,No,UT,0.02,No,Low
No,No,87,39.92,1,No,IN,0.02,No,Low
No,No,70,33.76,2,No,CT,0.01,No,Low
No,Yes,119,24.24,3,No,MO,0.02,No,Low
Yes,No,87,22.81,0,No,RI,0.1,No,Low
No,No,112,19.02,5,Yes,CA,0.88,Yes,Critical
No,No,75,20.88,2,No,RI,0.0,No,Low
No,No,150,32.18,4,No,CT,0.05,No,Low
No,Yes,161,40.87,0,No,IN,0.02,No,Low
Yes,Yes,91,15.9,0,No,FL,0.09,No,Low
No,No,124,26.96,3,No,KS,0.01,No,Low
No,No,158,37.55,0,No,RI,0.04,No,Low
No,No,102,24.55,0,No,NV,0.03,No,Low
No,No,85,36.09,0,No,UT,0.01,No,Low
No,No,79,24.99,1,No,OK,0.01,No,Low
No,Yes,139,16.35,2,No,MN,0.02,No,Low
No,No,103,44.78,0,No,NC,0.3,No,Medium
Yes,No,98,2.13,1,No,OR,0.1,No,Low
No,No,78,27.59,2,No,NH,0.0,No,Low
No,No,50,31.21,1,No,AK,0.02,No,Low
No,Yes,86,20.91,1,No,WV,0.0,No,Low
No,No,92,35.36,0,No,GA,0.0,No,Low
No,No,174,40.66,1,No,NM,0.01,No,Low
No,No,124,32.81,1,No,OH,0.04,No,Low
No,Yes,190,19.84,1,No,RI,0.02,No,Low
No,No,101,15.95,1,No,HI,0.01,No,Low
Yes,Yes,185,26.2,2,No,WY,0.05,No,Low
No,Yes,68,40.72,0,No,NY,0.01,No,Low
No,Yes,117,36.72,0,No,KS,0.01,No,Low
No,No,118,31.86,1,No,LA,0.0,No,Low
No,No,124,28.46,0,No,PA,0.0,No,Low
No,No,22,27.27,1,No,NV,0.04,No,Low
No,No,75,24.34,1,No,MN,0.01,No,Low
No,Yes,164,37.25,1,No,MO,0.01,No,Low
No,No,177,39.58,2,No,ME,0.07,No,Low
No,No,110,27.54,0,No,NH,0.01,No,Low
No,No,158,35.68,1,No,MN,0.0,No,Low
No,No,114,32.56,0,No,OH,0.04,No,Low
No,Yes,64,49.49,1,No,NC,0.06,No,Low
No,No,111,43.5,3,No,KY,0.05,No,Low
No,No,60,42.96,2,No,MT,0.08,No,Low
No,No,113,22.46,3,No,NJ,0.02,No,Low
No,No,109,36.89,1,No,FL,0.02,No,Low
No,Yes,105,17.32,0,No,IN,0.03,No,Low
No,No,85,35.96,2,No,DE,0.02,No,Low
No,No,131,26.08,0,No,AL,0.01,No,Low
No,No,59,28.27,2,No,ME,0.02,No,Low
No,No,148,31.48,1,No,SD,0.01,No,Low
No,No,210,17.78,2,No,VA,0.03,No,Low
No,No,106,46.65,1,No,ID,0.33,No,Medium
No,Yes,57,47.58,1,No,KY,0.14,No,Low
No,No,98,31.82,1,No,ND,0.01,No,Low
No,No,157,46.95,3,No,HI,0.18,No,Low
No,Yes,116,34.07,1,No,WI,0.02,No,Low
No,No,30,27.59,2,No,WV,0.03,No,Low
No,No,111,30.07,4,Yes,NJ,0.33,No,Medium
No,No,52,28.14,0,No,KS,0.02,No,Low
No,Yes,135,34.24,2,Yes,NJ,0.04,No,Low
No,No,86,32.39,3,No,NC,0.0,No,Low
No,No,151,40.1,3,No,WY,0.02,No,Low
No,No,117,24.58,2,No,NY,0.0,No,Low
No,No,82,17.17,0,No,ID,0.08,No,Low
No,No,152,35.07,1,No,IA,0.0,No,Low
No,Yes,108,28.07,1,No,TN,0.02,No,Low
No,No,98,28.05,1,Yes,OH,0.64,Yes,High
No,No,47,26.4,3,No,MA,0.0,No,Low
No,No,189,35.41,3,No,OK,0.04,No,Low
No,No,159,32.15,1,Yes,NE,0.04,No,Low
No,Yes,11,22.36,2,No,VA,0.02,No,Low
No,No,111,24.19,2,No,MT,0.03,No,Low
No,Yes,99,14.91,2,No,VT,0.02,No,Low
Yes,Yes,114,29.67,2,No,VA,0.04,No,Low
No,No,71,17.56,2,No,AL,0.02,No,Low
No,Yes,100,41.92,1,No,AL,0.01,No,Low
No,Yes,83,13.35,1,No,WV,0.01,No,Low
No,No,64,25.18,5,Yes,NV,0.89,Yes,Critical
No,No,105,35.05,1,No,TN,0.01,No,Low
No,Yes,144,42.77,2,No,ID,0.03,No,Low
Yes,Yes,106,45.95,1,Yes,WY,0.89,Yes,Critical
No,Yes,19,26.62,1,No,TX,0.01,No,Low
No,No,46,23.7,1,No,MA,0.04,No,Low
No,No,127,37.43,2,No,IL,0.02,No,Low
No,Yes,9,36.4,1,No,LA,0.03,No,Low
No,No,157,33.32,1,No,CO,0.01,No,Low
No,No,105,18.09,6,Yes,UT,0.6,Yes,High
No,No,31,30.14,0,No,ID,0.0,No,Low
No,Yes,95,44.57,0,No,MN,0.08,No,Low
No,No,132,32.86,5,Yes,GA,0.7,Yes,High
No,Yes,119,36.92,0,No,HI,0.01,No,Low
No,No,16,35.62,1,No,AL,0.0,No,Low
No,No,99,16.22,1,No,CT,0.01,No,Low
No,Yes,76,36.48,1,No,CO,0.0,No,Low
No,No,167,22.37,4,Yes,KS,0.62,Yes,High
No,No,129,28.63,1,No,NJ,0.0,No,Low
No,No,116,24.89,1,No,FL,0.0,No,Low
Yes,No,60,31.11,1,No,CA,0.09,No,Low
No,Yes,47,19.07,0,No,TX,0.01,No,Low
Yes,No,40,29.02,3,No,MN,0.27,No,Low
No,No,173,29.33,0,No,AK,0.02,No,Low
No,Yes,157,33.03,1,No,OR,0.0,No,Low
No,Yes,66,31.93,2,No,MS,0.0,No,Low
Yes,Yes,50,52.21,0,No,VT,0.15,No,Low
No,No,72,20.09,3,No,UT,0.02,No,Low
No,No,130,26.18,1,No,KS,0.02,No,Low
No,No,143,26.44,1,No,NV,0.01,No,Low
No,No,32,26.84,1,No,TX,0.04,No,Low
No,No,166,34.58,2,No,MA,0.01,No,Low
No,Yes,72,15.78,1,No,CA,0.06,No,Low
No,Yes,134,36.86,0,No,IA,0.02,No,Low
No,No,13,32.84,4,No,NH,0.07,No,Low
No,No,90,19.24,3,No,GA,0.05,No,Low
No,Yes,111,28.25,3,No,WI,0.03,No,Low
No,Yes,101,44.57,1,No,CO,0.04,No,Low
No,No,72,35.33,0,No,SC,0.02,No,Low
No,Yes,67,41.72,1,No,MI,0.0,No,Low
No,No,172,48.81,3,Yes,MD,0.83,Yes,Critical
No,Yes,154,32.69,2,No,IN,0.0,No,Low
No,No,69,33.01,2,No,ME,0.09,No,Low
No,No,123,35.87,3,No,DC,0.0,No,Low
No,Yes,130,24.12,0,No,TN,0.07,No,Low
No,Yes,142,37.49,2,No,FL,0.03,No,Low
No,Yes,87,24.4,0,No,HI,0.0,No,Low
No,No,149,26.52,0,No,NE,0.03,No,Low
Yes,No,146,27.22,2,No,TN,0.09,No,Low
Yes,No,88,39.97,4,Yes,MD,0.82,Yes,Critical
No,No,48,32.03,1,No,VT,0.02,No,Low
No,No,135,33.12,1,No,OR,0.0,No,Low
No,No,100,42.13,1,No,IN,0.01,No,Low
No,No,98,37.6,4,No,MO,0.2,No,Low
No,Yes,75,20.15,2,No,FL,0.01,No,Low
No,Yes,180,39.41,1,No,DC,0.02,No,Low
No,Yes,100,36.7,1,No,VT,0.0,No,Low
No,Yes,119,36.91,2,No,OH,0.05,No,Low
No,Yes,155,31.16,1,No,LA,0.02,No,Low
Yes,No,78,40.26,1,Yes,IL,0.86,Yes,Critical
No,No,153,32.95,1,No,NJ,0.01,No,Low
No,No,154,32.54,3,No,NE,0.01,No,Low
No,No,48,46.78,1,No,WV,0.12,No,Low
No,No,94,29.58,1,No,ND,0.01,No,Low
No,No,139,28.05,1,No,UT,0.05,No,Low
No,No,126,38.88,1,No,MS,0.01,No,Low
No,No,122,18.34,2,No,MN,0.0,No,Low
No,Yes,131,42.43,3,No,KS,0.02,No,Low
No,No,36,30.36,1,No,KS,0.01,No,Low
No,No,180,23.63,2,No,NV,0.03,No,Low
No,No,25,22.83,2,No,MT,0.02,No,Low
No,No,120,30.33,1,No,AK,0.02,No,Low
No,No,109,29.02,2,No,AR,0.01,No,Low
No,Yes,162,31.37,0,No,LA,0.05,No,Low
No,Yes,124,27.4,1,No,KS,0.03,No,Low
No,No,177,14.43,2,No,OR,0.11,No,Low
No,No,91,37.04,1,No,WI,0.06,No,Low
No,No,105,46.05,0,Yes,CO,0.91,Yes,Critical
No,No,24,41.31,0,Yes,KS,0.14,No,Low
No,No,86,21.47,2,No,IA,0.01,No,Low
No,No,91,27.03,0,No,NE,0.02,No,Low
Yes,Yes,147,37.38,3,No,OH,0.05,No,Low
No,Yes,108,27.56,4,Yes,TN,0.78,Yes,Critical
No,No,159,33.8,5,No,OK,0.08,No,Low
Yes,No,136,43.66,3,No,ND,0.37,No,Medium
No,Yes,45,33.46,1,No,NC,0.01,No,Low
No,No,122,23.82,2,No,MN,0.02,No,Low
No,No,138,33.03,5,No,MN,0.26,No,Low
No,No,132,19.99,1,No,MA,0.0,No,Low
No,No,58,41.33,2,No,GA,0.02,No,Low
No,No,81,24.72,1,No,NV,0.0,No,Low
No,No,87,28.75,3,No,TX,0.05,No,Low
No,No,116,38.98,2,No,ME,0.0,No,Low
No,Yes,62,31.69,2,Yes,MN,0.68,Yes,High
No,No,98,27.68,2,No,TN,0.0,No,Low
Yes,No,107,33.05,2,No,RI,0.12,No,Low
No,No,30,24.65,3,No,NC,0.02,No,Low
No,Yes,40,38.2,1,Yes,MA,0.67,Yes,High
No,No,72,24.99,1,No,TN,0.0,No,Low
No,Yes,95,44.34,1,No,WY,0.06,No,Low
No,No,42,26.42,0,No,IA,0.02,No,Low
No,No,86,28.25,1,No,IN,0.03,No,Low
No,Yes,55,22.19,4,Yes,FL,0.81,Yes,Critical
No,No,74,27.66,0,No,MT,0.05,No,Low
Yes,Yes,81,40.31,1,No,ND,0.27,No,Low
No,No,81,28.25,4,No,MI,0.26,No,Low
No,No,28,20.69,6,Yes,MT,0.9,Yes,Critical
No,No,111,29.99,0,No,AL,0.01,No,Low
No,Yes,3,11.46,2,No,NV,0.07,No,Low
No,Yes,68,29.92,1,No,FL,0.0,No,Low
No,No,163,42.11,0,Yes,NY,0.81,Yes,Critical
No,No,87,19.62,2,No,KS,0.05,No,Low
No,No,58,19.07,0,Yes,NC,0.68,Yes,High
No,No,109,27.64,0,No,MN,0.02,No,Low
No,No,111,39.0,4,No,RI,0.14,No,Low
No,No,144,23.73,2,No,UT,0.0,No,Low
No,No,135,44.85,5,Yes,OR,0.9,Yes,Critical
No,Yes,109,36.98,4,No,SC,0.09,No,Low
No,Yes,107,19.43,1,No,IL,0.01,No,Low
No,No,149,33.37,2,No,OH,0.01,No,Low
No,No,56,43.04,1,No,MA,0.03,No,Low
No,No,129,16.66,0,No,OR,0.02,No,Low
No,No,92,42.4,0,No,CA,0.04,No,Low
No,Yes,67,22.03,1,No,WV,0.0,No,Low
No,No,120,37.62,0,No,VT,0.04,No,Low
No,No,76,34.61,0,No,GA,0.0,No,Low
No,No,79,36.31,2,No,ME,0.05,No,Low
